Common name,Scientific name,Population,Taxon,Range,COSEWIC status,Schedule,SARA status
Coastrange Sculpin,Cottus aleuticus,Cultus population,Fishes,British Columbia,Threatened,Schedule 1,Threatened
Cobblestone Tiger Beetle,Cicindela marginipennis,,Arthropods,New Brunswick,Endangered,Schedule 1,Endangered
Coeur d'Alene Salamander,Plethodon idahoensis,,Amphibians,British Columbia,Special Concern,Schedule 1,Special Concern
Coho Salmon,Oncorhynchus kisutch,Interior Fraser population,Fishes,"British Columbia, Pacific Ocean",Endangered,No schedule,No Status
Colicroot,Aletris farinosa,,Vascular Plants,Ontario,Threatened,Schedule 1,Threatened
Collared Pika,Ochotona collaris,,Mammals,"Yukon, Northwest Territories, British Columbia",Special Concern,No schedule,No Status
Columbia Sculpin,Cottus hubbsi,,Fishes,British Columbia,Special Concern,Schedule 1,Special Concern
Columbia Spotted Frog,Rana luteiventris,,Amphibians,"Yukon, British Columbia, Alberta",Not at Risk,,
Columbian Carpet Moss,Bryoerythrophyllum columbianum,,Mosses,British Columbia,Special Concern,Schedule 1,Special Concern
Common Bottlenose Dolphin,Tursiops truncatus,,Mammals,Atlantic Ocean,Not at Risk,,
Common Hoptree,Ptelea trifoliata,,Vascular Plants,Ontario,Threatened,Schedule 1,Threatened
Common Loon,Gavia immer,,Birds,"Yukon, Northwest Territories, Nunavut, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Common Minke Whale North Atlantic subspecies,Balaenoptera acutorostrata acutorostrata,,Mammals,Atlantic Ocean,Not at Risk,,
Common Minke Whale North Pacific subspecies,Balaenoptera acutorostrata scammonii,,Mammals,Pacific Ocean,Not at Risk,,
Common Nighthawk,Chordeiles minor,,Birds,"Yukon, Northwest Territories, British Columbia, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Threatened,Schedule 1,Threatened
Common Tern,Sterna hirundo,,Birds,"Northwest Territories, Alberta, Saskatchewan, Manitoba, Ontario, Quebec, New Brunswick, Prince Edward Island, Nova Scotia, Newfoundland and Labrador",Not at Risk,,
Contorted-pod Evening-primrose,Camissonia contorta,,Vascular Plants,British Columbia,Endangered,Schedule 1,Endangered
